,Address,Suburb,bedrooms,bathrooms,carspaces,landAreaSqm,buildingAreaSqm,propertyTypes,priceDetails,InspectionOpenTime,InspectionCloseTime,headline,saleMethod,AuctionLocation,AuctionOpenTime,school_1,school_distance_1,school_2,school_distance_2,school_3,school_distance_3,features,description,seoUrl
0,"115 Coronation Road, Baulkham Hills NSW 2153",Baulkham Hills,4.0,2.0,2.0,,,['house'],"PRICE GUIDE $800,000 - $850,000",2018-10-20  09:30,2018-10-20  10:00,Jasper Road School Catchment,auction,On Site,2018-10-20  10:00, Jasper Road Public School, 0.2 km, Model Farms High School, 1.5 km, Our Lady Of Lourdes Primary School, 1.7 km,['Study'],"Within 200m walk to Jasper Road Public School, this single level home offers plenty of promise for the growing family. Featuring a flexible floor plan with space to adapt to your needs, the home comes with two kitchens and multiple living spaces. A rear to north aspect bathes the family-friendly garden in sunshine, offering a great setting for the entertainer or Investor looking to create a dual income with potential granny flat (S.T.C.A).

• 2 minute walk to Jasper Road Public School
• Single level floor plan with multiple living areas & an office
• Updated main kitchen features stainless steel appliances 
• Separate lounge & dining areas with timber floorboards
• Undercover alfresco entertaining zone includes BBQ area
• Bedrooms with built-in robes & individual climate control
• 708sqm block with double carport & established gardens

In the Jasper Road Primary School catchment zone, enjoy closeness to Stockland Shopping Centre and multiple reserves.",https://www.domain.com.au/115-coronation-road-baulkham-hills-nsw-2153-2014646649
1,"31 Tamboura Avenue, Baulkham Hills NSW 2153",Baulkham Hills,4.0,2.0,1.0,696.0,,['house'],"Price Guide $950,000",2018-10-20  10:00,2018-10-20  10:30,Spacious Family Entertainer,privateTreaty,,, Model Farms High School, 0.3 km, Winston Heights Public School, 1.1 km, St Paul The Apostle Primary School, 1 km,"['Air Conditioning', 'Built-In Wardrobes', 'Close to Schools', 'Close to Shops', 'Close to Transport', 'Garden', 'Secure Parking', 'Polished Timber Floor', 'Formal Lounge', 'Separate Dining', 'Pool']","This neatly maintained family home offers a spacious floor plan with high ceilings and large windows throughout offering an abundance of natural light into the home. With multiple living and dining areas as well as a spacious backyard with in-ground swimming pool, this home has something to please the whole family. Conveniently positioned close to Winston Hills Mall, express City buses, quality local schools and parks, the home is ideal for the growing family or those looking for a smart investment!

Main features include:
· Open-plan living and dining area flowing out to the outdoor entertaining area
· Additional sun-filled family room
· Centrally located kitchen equipped with stone benchtops, gas cooking, stainless steel appliances and breakfast bar
· Separate dining area
· Four spacious bedrooms with built-in robes to three and an ensuite to the master
· Large family bathroom with separate toilet
· Polished timber floors throughout
· Split system air-conditioning
· Undercover entertaining area overlooking low maintenance backyard with in-ground swimming pool
· Single car lock-up garage with internal access",https://www.domain.com.au/31-tamboura-avenue-baulkham-hills-nsw-2153-2014646852
2,"37 Oleander Avenue, Baulkham Hills NSW 2153",Baulkham Hills,4.0,3.0,6.0,700.0,,['house'],Auction this Saturday 3:00 - 3:30pm,2018-10-20  10:00,2018-10-20  10:30,Renovated Family Entertainer,auction,On Site,2018-10-20  15:30, Model Farms High School, 0.5 km, Winston Heights Public School, 1.2 km, St Paul The Apostle Primary School, 1.2 km,"['Air Conditioning', 'Built-In Wardrobes', 'Close to Schools', 'Close to Shops', 'Close to Transport', 'Fireplace(s)', 'Garden', 'Secure Parking', 'Polished Timber Floor', 'Formal Lounge', 'Pool', 'Terrace-Balcony']","Manor presents this newly renovated, quality appointed family home, bursting with character and an abundance of natural light throughout. Positioned in a convenient location on the high side of the street, within walking distance to quality local schools, shopping malls, City bus transport, parks, this home offers ease of access that the whole family will enjoy! With the growing family in mind, this open-plan layout offers an abundance of living space throughout with a relaxed backyard designed for the entertainer.


Additional features include:
·         Large, open-plan living, dining and family area with slow combustion fireplace
·         Centrally located, modern kitchen equipped with gas cooking, stainless steel appliances, breakfast bar and ample storage
·         Spacious undercover entertaining deck flowing off from the family area
·         Four spacious bedrooms with built-in robes to three and ensuite and deck access to the main
·         Two renovated family bathrooms
·         Laundry with additional modern family bathroom and storage
·         Split system air-conditioning throughout
·         Covered outdoor entertaining area overlooking the in-ground swimming pool
·         Large double lock-up garage with additional four space carport",https://www.domain.com.au/37-oleander-avenue-baulkham-hills-nsw-2153-2014658178
3,,,,,,,,,,2018-10-20  15:00,2018-10-20  15:30,,,,,,,,,,,,,
4,"5 Courtyard Place, Castle Hill NSW 2154",Castle Hill,4.0,2.0,2.0,712.0,,['house'],Just Listed,2018-10-20  10:00,2018-10-20  10:30,"Private, garden setting in cul-de-sac",privateTreaty,,, Samuel Gilbert Public School, 0.4 km, Castle Hill High School, 2.3 km, William Clarke College, 1.8 km,"['Air Conditioning', ' Ensuite', ' Carpeted']","Blissfully secluded within a peaceful cul-de-sac, this neatly presented residence sits in manicured grounds. Its single-level floor plan has a light-soaked kitchen at its centre, linking the distinct living spaces. A streetscape outlook is enjoyed from the vast formal lounge room with window awnings to keep the temperature cool in summer.

Dining and family rooms both provide access to the covered deck and level lawn which are lovely areas to relax, entertain and play in privacy. A north-west facing rear promises sunset displays from the well-tended backyard. Zoned for Samuel Gilbert Public School which is a 10 minute walk, it is moments to Castle Glen Reserve and Knightsbridge Shops. 

•	Level 712sqm parcel with enclosed backyard 
•	New carpet and excellent condition interiors 
•	Ensuite for master bedroom and built-in wardrobes for all bedrooms 
•	Ducted air conditioning, solar hot water, garden shed 
•	10 minutes to Castle Towers and future North West rail link 


We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations.",https://www.domain.com.au/5-courtyard-place-castle-hill-nsw-2154-2014709434
5,"9 Carnegie Place, Castle Hill NSW 2154",Castle Hill,4.0,2.0,2.0,,,['house'],Auction Unless Sold Prior,2018-10-20  10:00,2018-10-20  10:45,Hidden Gem! The Ultimate Family Haven in Prime Location,privateTreaty,,, Excelsior Public School, 0.5 km, Castle Hill High School, 1.2 km, Hills Adventist College, 1 km,['Ensuite'],"Designed to provide a relaxed haven for the entertainer, this immaculate family residence offers an easy maintenance home that is exceptionally private and secure. It combines flowing interiors, sunlit outdoor areas and modern finishes throughout to deliver a property of light and style. The location is also excellent with upcoming Train Stations, Castle Towers Shopping Centre, schools and parks all within walking distance

Main Features:

--Light filled open plan living and dining area

--Modern kitchen with 40mm Caesarstone Benchtops, breakfast bar and large pantry

--Well-appointed large four bedrooms all with built-in robes, Master with luxury En-suite and walk through robe

--Stylish family-sized main bathroom with exquisite stone and an oversized spa bathtub

--Landscaped easy-maintenance front and backyard

--Private outdoor space with salt water pool and covered entertaining area

--Catchment for Castle Hill High School and Excelsior Public School

--Other features: air conditioning, led downlights, porcelain and bamboo floors, storages, separate garden shed, walk to parks, schools, upcoming stations, castle Hill Towers restaurants and retail precinct

Clear instruction from highly motivated owner that this one has to be sold!

For any inquiries, please contact Andy Lin on 0433 433 093 anytime.",https://www.domain.com.au/9-carnegie-place-castle-hill-nsw-2154-2014712451
6,"48 Bain Place, Dundas Valley NSW 2117",Dundas Valley,5.0,4.0,2.0,677.0,,['house'],CONTACT AGENT,2018-10-20  10:00,2018-10-20  10:30,BRAND NEW HOME WITH CENTRAL ACCESS,privateTreaty,,, Yates Avenue Public School, 0.6 km, Cumberland High School, 2.4 km, Macarthur Girls High School, 5.1 km,,"A brand new dual level residence with so much to offer, this brick home promises stunning quality and generous space on a prized cul-de-sac street. The property is positioned on 677sqm of land and embraces its leafy surrounds in a whisper-quiet setting, unfolding to interiors that accommodate large-scale living. Highlighted by an expansive rear yard framed by trees and child-friendly lawns, it offers a perfect family sanctuary in a growing community with central access to transport and local amenities.

• Designed with an intelligent floorplan, high ceilings maximise light
• Radiant formal living, warm timber floors and open plan living/dining
• Stylish CaesarStone kitchen, Bosch 5-burner gas cooktop/walk-in pantry
• Built-ins to bedrooms/ensuites to two, master with dual vanity/walk-in
• Sublime BBQ alfresco entertaining, double auto garage/internal access
• Large storage room, gas heating, ducted air-con, intercom security
• Close to transport, Carlingford/Eastwood shops, selection of schools
",https://www.domain.com.au/48-bain-place-dundas-valley-nsw-2117-2014642394
7,"12 Baronbali Street, Dundas NSW 2117",Dundas,4.0,3.0,1.0,,,['semiDetached'],Open to Offers,2018-10-20  10:15,2018-10-20  10:45,"Affordable Luxury, Sophistication & Size",privateTreaty,,, Telopea Public School, 0.9 km, Cumberland High School, 2.1 km, Macarthur Girls High School, 3.2 km,"['Air Conditioning', ' Heating', ' Built-In Wardrobes', ' Close to Schools', ' Close to Transport', ' Ensuite', ' Pets Allowed', ' Alarm System', ' Bush Retreat', ' Prestige Homes', ' Exhaust', ' High Clearance', ' Openable Windows', ' Roller Door Access', ' Security System']","12A no longer available for sale. Make the most of this incredible opportunity. with 12 Baronbali now selling. 

Enjoy affordable comfort with this brand new, never lived in before, Torrens Title duplex located in an absolutely sought after location within Dundas. Offering an enviable design to compliment, and a house worthy of calling your home, enjoy the perfectly crafted spaces being offered to you to raise the growing family, downsize, modernise or simply invest. 

Wake up to elevated views across 'The Pond' and enjoy the sunny north aspect this home has to offer. Backing onto The Ponds Creek Dundas, your new home offers a serene and peaceful outlook into nature providing an escape from the hustle and bustle of Sydney life whilst providing the utmost privacy.  

Highly considered and well delivered this exceptional family home provides high quality finishes and features for a 'nothing to do' solution to your property search. Offering a combination of feature tiles throughout all living areas and durable woodgrain laminate flooring upstairs, 'floor to wall' tiling throughout all bathrooms, 40mm stone benchtops consistent throughout the kitchen and bathrooms, ducted air-conditioning throughout the home with multiple zones available, large rain water tank with grey water system for the eco-friendly to consider, LED lighting for energy efficiency and gorgeous white lighting.

With designer finishes, ornate staircases, high ceilings, picturesque vistas and so much more on offer you simply have to come and compare. For a full list of what this property has to offer however please contact Thomas Perram on 0411 081 922 or enquire through the portal and make sure to visit. Our open home times will be updated throughout the week if not already listed and inspections by appointment are welcomed. 

Disclaimer: The information presented has been obtained from sources we deem to be reliable. We have not verified whether or not the information is accurate and do not accept any responsibility to any person and do no more than pass it on. All interested parties should rely on their own enquiries in order to determine the accuracy of this information. The images provided for marketing have had digital alterations made to include digital furniture. This is to be considered as a guide only to the layout and style of the property. All interested parties should rely on their own enquiries in order to determine the accuracy of this information.
",https://www.domain.com.au/12-baronbali-street-dundas-nsw-2117-2014571435
8,,,,,,,,,,2018-10-20  14:45,2018-10-20  15:15,,,,,,,,,,,,,
9,"2A Freeman Place, Carlingford NSW 2118",Carlingford,5.0,3.0,2.0,402.0,,['house'],"Auction, price  guide $1,350,000  - $1,450,000",2018-10-20  10:15,2018-10-20  10:45,Modern freestanding home with street frontage,auction,,2018-11-10  09:45, Epping West Public School, 1.4 km, Marsden High School, 1.9 km, Marist College, 1.3 km,,"Poised on the cusp of Epping and Eastwood, this modern freestanding Provincial home showcases a wide street frontage with an east facing rear aspect. It's enviably positioned in the Epping West Public catchment and a stroll to local shops, restaurants and buses.



- Elegant formal living and dining rooms, downstairs study/fifth bed

- Tiled family/dining room flowing to outdoor entertaining

- Private rear garden with a firepit and level lawns

- Tasmanian oak kitchen with gas cooking and a garden outlook

- Light filled bedrooms, built-in wardrobes and upstairs retreat

- Master bedroom boasts a walk-in robe and ensuite bathroom

- Main bathroom with corner bath, third bathroom downstairs

- Built by Provincial Homes for the current owners

- Air conditioning and a double garage with internal entry

- Walk to buses and easy access to top local secondary schools
",https://www.domain.com.au/2a-freeman-place-carlingford-nsw-2118-2014705462
